Unnamed: 0,author,statement,source,date,target,BinaryTarget,BinaryNumTarget,Fake,Real
1580,Ciara O'Rourke,Country singer Miranda Lambert is giving away “free belly melt kits.”,Facebook posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
1581,Ciara O'Rourke,“The United Nations replaces all 193 country flags with LGBT flags.”,Instagram posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
1582,Ciara O'Rourke,The military arrested the administrator of the Small Business Administration.,Viral image,"June 16, 2023",pants-fire,FAKE,0,FAKE,
1583,Gabrielle Settles,"""Silenciaron al Dr. Sebi"" por decir que ciertos vegetales ""son productos de laboratorio"".",Facebook posts,"June 16, 2023",FALSE,FAKE,0,FAKE,
1584,Ciara O'Rourke,Video shows an aide to former President Donald Trump “grilling” former President Barack Obama.,Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
1585,Ciara O'Rourke,Photo shows former President Donald Trump “dancing with a 13-year-old girl” on Jeffrey Epstein’s private island.,Viral image,"June 15, 2023",FALSE,FAKE,0,FAKE,
1586,Maria Briceño,"Este video muestra ""extraterrestres en Las Vegas captados por una cámara de seguridad"".",Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
1587,Ciara O'Rourke,Video shows former President Donald Trump attacking the Clintons in 2023.,Facebook posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
1588,Ciara O'Rourke,A photo shows Australian TV host David Koch being detained by police.,Viral image,"June 15, 2023",FALSE,FAKE,0,FAKE,
1589,Marta Campabadal,This video shows a cartel member in Mexico carrying a Javelin that the U.S. sent to Ukraine.,TikTok posts,"June 15, 2023",FALSE,FAKE,0,FAKE,
1590,Ciara O'Rourke,Former President Donald Trump rescued deformed children who were born into sex slavery in tunnels under Central Park in New York.,Instagram posts,"June 14, 2023",pants-fire,FAKE,0,FAKE,
1591,Tom Kertscher,"Smoke that covered New York, New Jersey and Connecticut after the Canadian wildfires “was a planned operation in geoengineering.”",Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
1592,Sara Swann,“A Ukrainian tank uses a house as camouflage.”,Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
1593,Ciara O'Rourke,Gabby Petito’s last text to her mother included an acronym for “Send The Authorities Now.”,Facebook posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
1594,Ciara O'Rourke,“Mel Gibson has announced he has been secretly working on a 4 part docu series exposing the 34 billion dollar global child sex trafficking trade.”,Instagram posts,"June 14, 2023",FALSE,FAKE,0,FAKE,
1595,Ciara O'Rourke,Recent wildfires in Canada were simultaneously ignited using weapons.,Facebook posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
1596,Loreben Tuquero,“The White House Gift Shop is putting out a commemorative coin for Donald Trump's indictment.”,Bill Cassidy,"June 13, 2023",half-true,REAL,1,,REAL
1597,Ciara O'Rourke,Video shows an aide to U.S. Rep. Nancy Pelosi snapping at former U.S. Rep. Trey Gowdy.,Facebook posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
1598,Ciara O'Rourke,Recent wildfires in California were planned to clear land for a high-speed rail system.,Instagram posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
1599,Sara Swann,“They are trying to throw Trump in jail for the rest of his life for having a couple dozen documents that he had authority to declassify.”,Instagram posts,"June 13, 2023",FALSE,FAKE,0,FAKE,
1600,Sarah Bahari,"Barack Obama said that Iran has a “right” to nuclear technology, including weapons.",Ted Cruz,"June 13, 2023",barely-true,FAKE,0,FAKE,
1601,Gabrielle Settles,"Trump ""hasn't been 'indicted.' It's all part of the Operation.”",Facebook posts,"June 13, 2023",pants-fire,FAKE,0,FAKE,
1602,Ciara O'Rourke,"Video shows U.S. Rep. Jim Jordan asking U.S. Rep. Jerry Nadler, “What are you hiding?”",Facebook posts,"June 12, 2023",FALSE,FAKE,0,FAKE,
1603,Amy Sherman,Donald Trump “never changed one immigration law.”,Chris Christie,"June 12, 2023",mostly-true,REAL,1,,REAL
1604,Samantha Putterman,"Photo of woman in Team Trump attire is Aileen Cannon, the Trump-appointed judge presiding over the classified documents case.",Tweets,"June 12, 2023",FALSE,FAKE,0,FAKE,
1605,Grace Abels,Las personas atraídas a los menores de edad “ya tienen su bandera del orgullo”.,TikTok posts,"June 12, 2023",FALSE,FAKE,0,FAKE,
1606,Ciara O'Rourke,Video shows cattle killed by COVID-19 vaccines.,Viral image,"June 12, 2023",FALSE,FAKE,0,FAKE,
1607,Loreben Tuquero,"“Hundreds of thousands of innocent people died” from taking the drug azidothymidine, or AZT.",Instagram posts,"June 9, 2023",FALSE,FAKE,0,FAKE,
1608,Ciara O'Rourke,“There is no war in Ukraine.”,Facebook posts,"June 9, 2023",pants-fire,FAKE,0,FAKE,
1609,Ciara O'Rourke,Video shows Elon Musk and Jack Ma presenting “a new software called ‘Quantum AI.’”,Facebook posts,"June 9, 2023",FALSE,FAKE,0,FAKE,
1610,Ciara O'Rourke,“Publix drops Ben and Jerry’s ‘for the good of our kids.’”,Bloggers,"June 9, 2023",FALSE,FAKE,0,FAKE,
1611,Ciara O'Rourke,"“Cocaine, porn, evidence of child trafficking found in (Gov. Gretchen) Whitmer’s car.”",TikTok posts,"June 9, 2023",pants-fire,FAKE,0,FAKE,
1612,Maria Ramirez,"“A place like California, they give (immigrants in the country illegally) benefits. They give unemployment checks.”",Ron DeSantis,"June 9, 2023",half-true,REAL,1,,REAL
1613,Gabrielle Settles,"“Italy announced they are changing LGBT Pride month to Family Pride Month,” in order to “celebrate traditional families.”",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
1614,Louis Jacobson,“The family separation policy actually began under the Obama administration.”,Mike Pence,"June 8, 2023",FALSE,FAKE,0,FAKE,
1615,Marta Campabadal,"Video muestra un arresto de ""inmigrantes en Florida"".",Facebook posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
1616,Ciara O'Rourke,"“Military, Trump thwart deep state blackout.”",Facebook posts,"June 8, 2023",pants-fire,FAKE,0,FAKE,
1617,Ciara O'Rourke,Footage shows Canada’s wildfires were “planned.”,Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
1618,Grace Abels,"A movement representing ""minor attracted people"" has adopted a flag that is being integrated into LGBTQ+ advocacy.",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
1619,Loreben Tuquero,"President Joe Biden showed signs of cognitive decline when he walked away from an Air Force Falcons presentation with a jersey, snubbing a signed football and helmet.",Instagram posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
1620,Sara Swann,The wildfires in Canada were planned.,TikTok posts,"June 8, 2023",FALSE,FAKE,0,FAKE,
1621,Gabrielle Settles,“An 11-year-old boy saved the lives of two people on the same day.”,Instagram posts,"June 7, 2023",TRUE,REAL,1,,REAL
1622,Samantha Putterman,"Amazon’s “Utopia” TV series predicted the COVID-19 pandemic and an intentional effort to sterilize humans, showing the pandemic was planned.",TikTok posts,"June 7, 2023",pants-fire,FAKE,0,FAKE,
1623,Madeline Heim,The COVID vaccine “has been proven to have negative efficacy.”,Ron Johnson,"June 7, 2023",FALSE,FAKE,0,FAKE,
1624,Gabrielle Settles,"Jamie Foxx tras una coagulación de sangre en el cerebro ""habría quedado ciego y paralizado"" debido a una ""dosis de vacuna contra el coronavirus"".",Facebook posts,"June 7, 2023",FALSE,FAKE,0,FAKE,
1625,Madison Czopek,"“New tapes” of Nancy Pelosi show that the Jan. 6, 2021, attack on the U.S. Capitol “was all planned.”",Benny Johnson,"June 6, 2023",FALSE,FAKE,0,FAKE,
1626,Loreben Tuquero,Photos show Target selling children’s clothing with satanic imagery.,Facebook posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
1627,Maria Briceño,"Disney ""acaba de publicar"" que no puedes entrar a sus parques en Florida y California ""sin que tus hijos reconozcan que no le pueden llamar a un niño él o ella"".",Facebook posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
1628,Sara Swann,Texas Attorney General Ken Paxton was “caught on tape saying he discarded 2.5 million mail-in ballots in Texas.”,TikTok posts,"June 6, 2023",FALSE,FAKE,0,FAKE,
1629,Tom Kertscher,Boiling tap water causes fluoride in the water to be “more toxic.”,Facebook posts,"June 6, 2023",pants-fire,FAKE,0,FAKE,
1630,Sevana Wenn,The average amount of assistance for the Supplemental Nutrition Assistance Program is $6 a day.,Pramila Jayapal,"June 6, 2023",mostly-true,REAL,1,,REAL
1631,Louis Jacobson,"Having ""biological boys … in their locker rooms” is a reason why “a third of our teenage girls seriously contemplated suicide last year.""",Nikki Haley,"June 6, 2023",FALSE,FAKE,0,FAKE,
1632,Loreben Tuquero,"In a simulation, an AI-enabled drone operated by the U.S. Air Force killed its operators and “started taking out communication towers.”",Instagram posts,"June 5, 2023",FALSE,FAKE,0,FAKE,
1633,Maria Ramirez,"Donald Trump ""wanted to amnesty 2 million illegal aliens in 2018 when he was president.""",Ron DeSantis,"June 5, 2023",mostly-true,REAL,1,,REAL
1634,Gabrielle Settles,“Jamie Foxx left ‘paralyzed and blind’ from blood clot in his brain” after a COVID-19 vaccine injection.,Charlie Kirk,"June 5, 2023",FALSE,FAKE,0,FAKE,
1635,Julie Appleby,"""Americans will get $1.1 B in rebates from health insurance companies this year cuz of a provision I wrote in the ACA.”",Al Franken,"June 5, 2023",mostly-true,REAL,1,,REAL
1636,Grace Abels,"The blue, pink, and white colors in the progress pride flag represent pedophiles",Facebook posts,"June 2, 2023",pants-fire,FAKE,0,FAKE,
1637,Jeff Cercone,"""The European Union is now warning pregnant women not to get the COVID-19 vaccine due to the possibility of infertility and miscarriage.”",Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
1638,Loreben Tuquero,Photos show “Elon Musk and his company are in the final stages of making a Robot Wife.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
1639,Louis Jacobson,"""Every study has shown” that when work requirements are tied to federal safety-net programs, “it puts more people to work.”",Kevin McCarthy,"June 1, 2023",barely-true,FAKE,0,FAKE,
1640,Tom Kertscher,"The U.S. ""takes 87% of all the prescription medications in the world.""",Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
1641,Gabrielle Settles,Video shows boxes of books removed from a middle school library that were “banned by the DeSantis regime in Florida.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
1642,Maria Briceño,La guanábana “es considerada como la quimioterapia natural”.,Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
1643,Jeff Cercone,30 tons of lost ammonium nitrate on a California-bound train suggest an orchestrated conspiracy.,Facebook posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
1644,Sara Swann,Pop-Tarts and other foods “have antifreeze in them.”,Instagram posts,"June 1, 2023",FALSE,FAKE,0,FAKE,
1645,Vanessa Swales,On exceptions to Wisconsin's abortion ban,Derrick Van Orden,"June 1, 2023",half-flip,FAKE,0,FAKE,
1646,Tom Kertscher,"Video shows officials in Maricopa County, Arizona, ""illegally breaking into"" voting machines.",Instagram posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
1647,Matthew Crowley,“There's not been a single book banned in the state of Florida.”,Ron DeSantis,"May 31, 2023",FALSE,FAKE,0,FAKE,
1648,Loreben Tuquero,"Chick-fil-A “just hired a VP of Diversity, Equity and Inclusion.”",Tweets,"May 31, 2023",FALSE,FAKE,0,FAKE,
1649,Grace Abels,Roseanne Barr made a video of a rainbow in a sprinkler questioning 'what the heck is in our water supply.',TikTok posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
1650,Samantha Putterman,“Arizona BANS Electronic Voting Machines.”,Facebook posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
1651,Madison Czopek,"""Si trabajaste en el año 2020 puede ser que te deban muchísimo dinero” a través de un “crédito que está activo hasta ahora”.",Facebook posts,"May 31, 2023",FALSE,FAKE,0,FAKE,
1652,Jeff Cercone,“Miami-Dade County has banned” Amanda Gorman’s poem “from elementary schools.”,Instagram posts,"May 31, 2023",barely-true,FAKE,0,FAKE,
1653,Andy Nguyen,A chart on Arctic sea ice provides evidence that Al Gore was wrong when he said in 2009 that the north polar ice cap would lose all of its ice “within the next five to seven years.”,Alex Epstein,"May 31, 2023",half-true,REAL,1,,REAL
1654,Gabrielle Settles,"""F.ight BREAKS as C.omer SHUTS UP Biden's lawyer with B0MBSHELL.""",Facebook posts,"May 31, 2023",pants-fire,FAKE,0,FAKE,
1655,Madison Czopek,House Speaker Kevin McCarthy called for the immediate “expulsion and prosecution of Rep. Adam Schiff for committing crimes of treason against the United States.”,Instagram posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
1656,Maria Briceño,Says Ron DeSantis said Puerto Rico’s flag can’t be displayed in Florida.,TikTok posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
1657,Loreben Tuquero,"Rep. Eric Swalwell, D-Calif., is facing charges after “lying” to Rep. Jim Jordan, R-Ohio.",Facebook posts,"May 30, 2023",FALSE,FAKE,0,FAKE,
1658,Loreben Tuquero,Video shows Rep. Nancy Pelosi being arrested.,Instagram posts,"May 30, 2023",pants-fire,FAKE,0,FAKE,
1659,Maria Briceño,"""Estelas de aviones ... están modificadas con químicos por gobiernos poderosos para enfermar a las personas con fines económicos manipulativos y de reducción de la población"".",Facebook posts,"May 30, 2023",pants-fire,FAKE,0,FAKE,
1660,Marta Campabadal,"Estas imágenes tomadas ""con 100 años de diferencia"" muestran que el nivel del mar no ha subido.",Facebook posts,"• May 30,",FALSE,FAKE,0,FAKE,
1661,Tom Kertscher,"Electric vehicles are a ""giant computer that can be controlled remotely from some cloud-based central grid.""",Facebook posts,"May 26, 2023",barely-true,FAKE,0,FAKE,
1662,Andy Nguyen,“Adam Schiff just got served” with a $16 million fine for Russia collusion investigation.,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1663,Gabrielle Settles,"Says Bill Gates visited Jeffrey Epstein’s Island ""37 times.""",Instagram posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1664,Loreben Tuquero,“50 U.S. politicians who received satellite phones were taken to an undisclosed government bunker facility to ensure a Continuation of Government.”,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1665,Maria Ramirez,“Ron DeSantis voted against the wall.”,MAGA Inc,"• May 26,",barely-true,FAKE,0,FAKE,
1666,Sara Swann,"""1,000,000 Ukraine soldiers wiped out”",Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1667,Gabrielle Settles,"“If you shopped at Walmart in 2022, you could be entitled to a $500 refund!”",Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1668,Madison Czopek,North Korean leader Kim Jong-un “just ordered the evacuation of the capital city.”,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1669,Louis Jacobson,"Said he was “able to convince India, Australia, Japan, and the United States to form an organization called the Quad to maintain stability in the Indian Ocean and the South China Sea.""",Joe Biden,"May 26, 2023",barely-true,FAKE,0,FAKE,
1670,Jeff Cercone,U.S. destroyer recently fired at an armed Iranian ship.,Facebook posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1671,Loreben Tuquero,A list shows violent crimes in Los Angeles that “people will be set free on as of today.”,Instagram posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1672,Sara Swann,Video shows a U.S. military member opening a border gate and allowing immigrants to enter the country illegally.,TikTok posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1673,Maria Briceño,"Ron DeSantis ""firmó una ley para prohibir exhibir la bandera de Puerto Rico en público"".",TikTok posts,"May 26, 2023",FALSE,FAKE,0,FAKE,
1674,D.L. Davis,"Infertility is treated differently than other issues and ""often excluded from insurance coverage""",Kelda Helen Roys,"May 26, 2023",TRUE,REAL,1,,REAL
1675,Jeff Cercone,"""NYC mayor plans to track and limit meat and dairy.""",Instagram posts,"May 25, 2023",barely-true,FAKE,0,FAKE,
1676,Marta Campabadal,"""¡Rusia levanta la bandera blanca y se rinde a Ucrania!""",Facebook posts,"• May 25,",pants-fire,FAKE,0,FAKE,
1677,Tom Kertscher,Photo shows the U.S. Pentagon “is under attack.”,Facebook posts,"May 25, 2023",pants-fire,FAKE,0,FAKE,
1678,Jeff Cercone,"""The NEXT pandemic is here and children are the target, says Bill Gates.”",Facebook posts,"May 25, 2023",FALSE,FAKE,0,FAKE,
1679,Gabrielle Settles,Dr. Sebi was killed “for revealing the truth” about the health benefits of burdock plants.,Facebook posts,"May 25, 2023",FALSE,FAKE,0,FAKE,
1680,Madison Czopek,"An Arizona judge was “forced to overturn” an election and ruled “274,000 ballots must be thrown out.”",Facebook posts,"May 24, 2023",FALSE,FAKE,0,FAKE,
1681,Marta Campabadal,"""Estados Unidos en peligro advierte el presidente y llama a todos a defender el alma de Estados Unidos"".",Facebook posts,"• May 24,",FALSE,FAKE,0,FAKE,
1682,Louis Jacobson,“The share of working-age men choosing to work is the lowest it has ever been.”,Tim Scott,"May 24, 2023",half-true,REAL,1,,REAL
1683,Tom Kertscher,"“The best type” of drinking water is H3O2, from fruits, “a more structured form of water.”",Facebook posts,"May 24, 2023",FALSE,FAKE,0,FAKE,
1684,Samantha Putterman,"“AIDS-associated diseases and cancers have increased by 338x since the rollout of the COVID-19 vaccines, according to the CDC and foreign government bodies.""",Instagram posts,"May 24, 2023",pants-fire,FAKE,0,FAKE,
1685,Maria Ramirez,"“Just last year,” Miami-Dade Public Schools “had over 14,000 new children, 10,000 of which came from four countries of Cuba, Nicaragua, Venezuela and Haiti.”",Francis Suarez,"• May 23,",TRUE,REAL,1,,
1686,Gabrielle Settles,Says a report shows that “Ventilators Killed Nearly ALL COVID Patients”,Instagram posts,"May 23, 2023",FALSE,FAKE,0,FAKE,REAL
1687,Madison Czopek,COVID-19 vaccines administered during pregnancy drove an increase in cases of myocarditis in babies.,Instagram posts,"May 23, 2023",FALSE,FAKE,0,FAKE,
1688,Sara Swann,“Tuck-friendly” bathing suits at Target “are available in kids’ sizes.”,Matt Walsh,"May 23, 2023",FALSE,FAKE,0,FAKE,
1689,Loreben Tuquero,"A video shows former President Barack Obama referring to his wife, Michelle as “Michael.”",Facebook posts,"May 23, 2023",pants-fire,FAKE,0,FAKE,
1690,Loreben Tuquero,A bill in Connecticut that changes the definition for “sexual orientation” would protect “minor attracted persons” from discrimination.,Instagram posts,"May 23, 2023",FALSE,FAKE,0,FAKE,
1691,Maria Briceño,"""La gente que se sube al coche manteniendo las ventanas cerradas inevitablemente aspirará en rápida sucesión excesivas cantidades” de benceno.",Facebook posts,"May 23, 2023",FALSE,FAKE,0,FAKE,
1692,Louis Jacobson,“(Donald) Trump ran up more debt than any other president in American history.”,Hakeem Jeffries,"May 22, 2023",barely-true,FAKE,0,FAKE,
1693,Maria Ramirez,"“El gobierno de Estados Unidos estará otorgando 30,000 visas mensuales"" para personas de Colombia, Guatemala, Honduras y El Salvador ""para poder venir a vivir a los Estados Unidos por dos años con permiso de trabajo"".",TikTok posts,"May 19, 2023",barely-true,FAKE,0,FAKE,
1694,Matthew Crowley,"“For African American families in particular, the homeownership rate remains relatively unchanged since 1968, the year the Fair Housing Act was signed into law.”",Tim Scott,"May 19, 2023",TRUE,REAL,1,,REAL
1695,Madison Czopek,"“U.S. military is now testing soldiers for AIDS, after DOD database reports 500% increase in HIV since the COVID vaccine rollout.”",Instagram posts,"May 19, 2023",FALSE,FAKE,0,FAKE,
1696,Sara Swann,“Street lights are connected to mRNA.”,Facebook posts,"May 19, 2023",pants-fire,FAKE,0,FAKE,
1697,Samantha Putterman,“CNN announces today there will be no more live audiences at town halls.”,Facebook posts,"May 19, 2023",FALSE,FAKE,0,FAKE,
1698,Loreben Tuquero,Canadian Prime Minister Justin Trudeau posed improperly with South Korean National Assembly Speaker Kim Jin-pyo because he “had a bit too much to drink.”,Facebook posts,"May 19, 2023",FALSE,FAKE,0,FAKE,
1699,Jeff Cercone,"""Chinese communist” troops on the ground at U.S. southern border.",TikTok posts,"May 19, 2023",FALSE,FAKE,0,FAKE,
1700,Gabrielle Settles,Video shows “Pelosi CRIES LIKE KID after McCarthy kicked her out as speaker.”,Facebook posts,"May 18, 2023",pants-fire,FAKE,0,FAKE,
1701,Maria Briceño,This video shows empty shelves at a Florida grocery store because truckers said “they were not delivering anything to Florida !!!”,TikTok posts,"May 18, 2023",FALSE,FAKE,0,FAKE,
1702,Michelle Andrews,"""We pay by far the highest prices in the world for prescription drugs, in some cases 10 times more than the people of any other country.""",Bernie Sanders,"May 18, 2023",half-true,REAL,1,,REAL
1703,Marta Campabadal,"“El Congreso ha aprobado un seguro de salud gratis con cobertura médica, dental y de visión”.",Facebook posts,"May 18, 2023",FALSE,FAKE,0,FAKE,
1704,Maria Ramirez,"""The Republican plan would cut federal law enforcement officers — 30,000 — including 11,000 FBI agents, 2,000 border agents, DEA agents, and so on.""",Joe Biden,"May 18, 2023",barely-true,FAKE,0,FAKE,
1705,Madison Czopek,An Instagram video shows a man confronting President Joe Biden about an inappropriate relationship with a 13-year-old girl.,Instagram posts,"May 18, 2023",pants-fire,FAKE,0,FAKE,
1706,Jill Terreri,The New York state budget covers 96% of eligible preschoolers,Kathy Hochul,"May 18, 2023",mostly-true,REAL,1,,REAL
1707,Tom Kertscher,“A European study has found COVID vaccines could be causing ‘long-term brain damage.’”,TikTok posts,"May 18, 2023",FALSE,FAKE,0,FAKE,
1708,Tom Kertscher,Pregnant women getting the Tdap vaccine “voluntarily are quite literally the experiment.”,Instagram posts,"May 18, 2023",FALSE,FAKE,0,FAKE,
1709,Marta Campabadal,“JUST IN: A MASSIVE CARAVAN of illegal aliens is forcing their way into the US!”,Tweets,"May 18, 2023",FALSE,FAKE,0,FAKE,
1710,Paul Specht,“(I will oppose) any attempt to restrict or deny women’s basic health care needs.”,Tricia Cotham,"May 17, 2023",full-flop,FAKE,0,FAKE,
1711,Jeff Cercone,FedNow is a new “monetary system” that’s “going to cost you.”,Facebook posts,"May 17, 2023",FALSE,FAKE,0,FAKE,
1712,Tom Kertscher,"“We are about 1 degree Celsius above the coldest it’s been in the last 10,000 years” and “that’s why we shouldn’t be panicking.”",Instagram posts,"May 17, 2023",FALSE,FAKE,0,FAKE,
1713,Tom Kertscher,New Washington state law allows “government to take away minors from parents if they refuse to agree to gender-transition surgery.”,The Gateway Pundit,"May 17, 2023",FALSE,FAKE,0,FAKE,
1714,Gabrielle Settles,“Jamie Foxx is on Life Support in ICU at this hour … Family is preparing for the worst.”,Facebook posts,"May 16, 2023",FALSE,FAKE,0,FAKE,
1715,Gabrielle Settles,“The government has been putting ground up human teeth and bone in our food and calling it 'calcium phosphate.’”,Facebook posts,"May 16, 2023",pants-fire,FAKE,0,FAKE,
1716,Amy Sherman,“In Congress Ron DeSantis pushed a 23% national sales tax.”,MAGA Inc,"May 16, 2023",half-true,REAL,1,,REAL
1717,Maria Ramirez,“A partir del 11 de mayo no podrán ser deportados personas que lleguen a la frontera de los Estados Unidos bajo el Título 42”.,TikTok posts,"May 16, 2023",barely-true,FAKE,0,FAKE,
1718,Loreben Tuquero,Photo shows former President Donald Trump “in the hood.”,Tweets,"May 16, 2023",FALSE,FAKE,0,FAKE,
1719,Marta Campabadal,"""Latino small businesses are 1 in 4 new businesses, but only 1% of venture capital funding goes to Latino businesses.""",Kamala Harris,"May 16, 2023",mostly-true,REAL,1,,REAL
1720,Sara Swann,Photo shows Joe Biden touching a child inappropriately.,Instagram posts,"May 15, 2023",pants-fire,FAKE,0,FAKE,
1721,Loreben Tuquero,“NCAA strips Lia Thomas of National Championship After ‘Unfavorable’ Test Results.”,Tweets,"May 15, 2023",FALSE,FAKE,0,FAKE,
1722,Loreben Tuquero,Video shows Pfizer agreed to pay $2.3 billion in a health care fraud settlement involving COVID-19 vaccines.,Instagram posts,"May 12, 2023",FALSE,FAKE,0,FAKE,
1723,Paul Specht,Four North Carolina Republicans made “campaign promises” to protect reproductive rights,Roy Cooper,"May 12, 2023",half-true,REAL,1,,REAL
1724,D.L. Davis,"“When a basketball player or football or baseball player from another team plays in Wisconsin, that one game's salary, they pay Wisconsin income tax on it. ... So, if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.""",Robin Vos,"May 12, 2023",TRUE,REAL,1,,REAL
1725,Gabrielle Settles,California has approved $1.2 million in reparations for every Black resident.,Tweets,"May 12, 2023",FALSE,FAKE,0,FAKE,
1726,Amy Sherman,“Donald Trump himself wrote a book where he was talking about the need to increase the age of eligibility for Social Security to 70.”,Ron DeSantis,"May 12, 2023",mostly-true,REAL,1,,REAL
1727,Samantha Putterman,“Hillary Clinton has Parkinson’s disease.”,Facebook posts,"May 11, 2023",FALSE,FAKE,0,FAKE,
1728,Ciara O'Rourke,Video shows Fox News host Sean Hannity saying an impostor is pretending to be President Joe Biden.,Viral image,"May 11, 2023",FALSE,FAKE,0,FAKE,
1729,Ciara O'Rourke,"NASA is “just a film studio, and all they do are movies.”",Viral image,"May 11, 2023",FALSE,FAKE,0,FAKE,
1730,Amy Sherman,"“Many of these teachers are soldiers, ex-soldiers, ex-policeman.”",Donald Trump,"May 11, 2023",barely-true,FAKE,0,FAKE,
1731,Loreben Tuquero,“The sun prevents skin cancer.”,Facebook posts,"May 11, 2023",FALSE,FAKE,0,FAKE,
1732,Ciara O'Rourke,The National Parks Service posted about children who have been freed from human traffickers.,Viral image,"May 11, 2023",pants-fire,FAKE,0,FAKE,
1733,Louis Jacobson,"House Speaker “Kevin McCarthy has quietly implemented a pay raise for members (of Congress) that could be $30,000+ per person. It circumvents the Constitution by instead reimbursing their rent, utilities, & meals.”",Brian Tyler Cohen,"May 11, 2023",barely-true,FAKE,0,FAKE,
1734,Maria Briceño,"Este video muestra ""gente saliendo de Florida por nueva orden que se aprobó ley antimigrante”.",TikTok posts,"May 11, 2023",FALSE,FAKE,0,FAKE,
1735,Ciara O'Rourke,Video shows Elon Musk saying “I just unbanned President Trump’s Twitter and I already have crybaby liberals threatening to quit Twitter.”,Viral image,"May 11, 2023",FALSE,FAKE,0,FAKE,
1736,Marta Campabadal,“Se filtran fotos” de “satanista enseñando sus Rituales y Adoración a lucifer a niños en bibliotecas de Estados Unidos”.,Facebook posts,"May 10, 2023",pants-fire,FAKE,0,FAKE,
1737,Samantha Putterman,"“Both murderers in Texas were not only illegals, but gang members” and were “most likely tied to MS-13.”",Facebook posts,"May 10, 2023",FALSE,FAKE,0,FAKE,
1738,Maria Briceño,En China se están fabricando huevos artificiales para el consumo humano.,Facebook posts,"May 10, 2023",FALSE,FAKE,0,FAKE,
1739,Marta Campabadal,Este video muestra “reptilianos”.,Facebook posts,"May 10, 2023",pants-fire,FAKE,0,FAKE,
1740,Maria Briceño,Tropas estadounidenses se preparan para “una pandemia zombies”.,Facebook posts,"May 10, 2023",FALSE,FAKE,0,FAKE,
1741,Madison Czopek,"Duke Health, UNC Health and ECU Health “in North Carolina are diagnosing toddlers who play with stereotypically opposite gender toys as having gender dysphoria and are beginning to transition them!!”",Instagram posts,"May 10, 2023",FALSE,FAKE,0,FAKE,
1742,Gabrielle Settles,“Goldfish crackers contain a dangerously high amount of weed killer.”,Facebook posts,"May 10, 2023",FALSE,FAKE,0,FAKE,
1743,Louis Jacobson,"“This year, there have been 13,000 deaths by gun violence. The vast majority, 95% of them, are in inner cities, where you have some of the strictest gun control laws in the country.”",Marc Short,"May 10, 2023",barely-true,FAKE,0,FAKE,
1744,Loreben Tuquero,Photo shows first person from a Honduras caravan to be granted asylum in the U.S.,Facebook posts,"May 9, 2023",FALSE,FAKE,0,FAKE,
1745,Grace Abels,Democrats “introduced a bill that would ban detaining gay illegal immigrants.”,Will Cain,"May 9, 2023",barely-true,FAKE,0,FAKE,
1746,Ciara O'Rourke,“The Democratic Party just confirmed Michelle Obama will be its nominee and nobody noticed.”,Viral image,"May 9, 2023",FALSE,FAKE,0,FAKE,
